[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /swagger/*any             --> github.com/swaggo/gin-swagger.CustomWrapHandler.func1 (4 handlers)
[GIN-debug] POST   /events                   --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).CreateEvent-fm (4 handlers)
[GIN-debug] GET    /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEvent-fm (4 handlers)
[GIN-debug] PUT    /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).UpdateEvent-fm (4 handlers)
[GIN-debug] DELETE /events/:id               --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).DeleteEvent-fm (4 handlers)
[GIN-debug] GET    /events/nearby            --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEventsByLocation-fm (4 handlers)
[GIN-debug] GET    /events/upcoming          --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetUpcomingEvents-fm (4 handlers)
[GIN-debug] POST   /events/:id/register      --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).RegisterForEvent-fm (5 handlers)
[GIN-debug] DELETE /events/:id/unregister    --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).UnregisterFromEvent-fm (5 handlers)
[GIN-debug] GET    /events/:id/attendees     --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetEventAttendees-fm (5 handlers)
[GIN-debug] GET    /events/user              --> github.com/meetup/backend/event-service/internal/handlers.(*EventHandler).GetUserEvents-fm (5 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://github.com/gin-gonic/gin/blob/master/docs/doc.md#dont-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8082
[GIN] 2026/03/14 - 21:17:06 | 400 | 32.291µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 25.669µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 |   3.09ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 53.399µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 30.441µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 |   1.82ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:17:06 | 400 | 29.824µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 276.77µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 42.303µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 38.682µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 |  23.83µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 40.219µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 28.953µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 29.203µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 27.568µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 22.482µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 22.824µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 187.124µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 |   2.35ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 33.397µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 48.954µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 |   2.28ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 |   1.74ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 118.578µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 33.703µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 36.593µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 36.604µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 27.953µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 48.848µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 |   2.16ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 36.957µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 32.449µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 |   2.66ms |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 59.108µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 147.455µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 44.139µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:17 | 400 | 31.705µs |       127.0.0.1 | POST     "/events"
[GIN] 2026/03/14 - 21:18:26 | 404 |  2.209µs |       127.0.0.1 | GET      "/events"

2026/03/14 21:18:26 [31;1m/home/bobrcurva/Desktop/screen-rotation/backend/event-service/internal/repository/event_repository.go:24 [35;1mrecord not found
[0m[33m[1.372ms] [34;1m[rows:0][0m SELECT * FROM "events" WHERE "events"."id" = 1 AND "events"."deleted_at" IS NULL ORDER BY "events"."id" LIMIT 1
[GIN] 2026/03/14 - 21:18:26 | 404 |   3.67ms |       127.0.0.1 | GET      "/events/1"

2026/03/14 21:18:26 [31;1m/home/bobrcurva/Desktop/screen-rotation/backend/event-service/internal/repository/event_repository.go:24 [35;1mrecord not found
[0m[33m[0.306ms] [34;1m[rows:0][0m SELECT * FROM "events" WHERE "events"."id" = 999 AND "events"."deleted_at" IS NULL ORDER BY "events"."id" LIMIT 1
[GIN] 2026/03/14 - 21:18:26 | 404 |   5.95ms |       127.0.0.1 | GET      "/events/999"
[GIN] 2026/03/14 - 21:18:26 | 400 | 33.729µs |       127.0.0.1 | GET      "/events/search?q=test"
[GIN] 2026/03/14 - 21:18:52 | 400 | 48.358µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+%271%27%3D%271"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.353µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 71.902µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+%271%27%3D%271%27+--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.312µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 |  17.51µs |       127.0.0.1 | GET      "/events/search?q=%27+OR+%271%27%3D%271%27+%2F%2A"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.722µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 18.083µs |       127.0.0.1 | GET      "/events/search?q=%27%3B+DROP+TABLE+users%3B+--"
[GIN] 2026/03/14 - 21:18:52 | 404 |  1.208µs |       127.0.0.1 | POST     "/events/search"
[GIN] 2026/03/14 - 21:18:52 | 400 | 13.654µs |       127.0.0.1 | GET      "/events/search?q=%27+UNION+SELECT+NULL--"
