[GIN] 2026/03/16 - 11:41:03 | 401 | 39.727µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:41:04 | 401 | 25.644µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:41:04 | 401 | 48.912µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:41:04 | 401 | 30.473µs |       127.0.0.1 | POST     "/friends/request"
[GIN] 2026/03/16 - 11:41:04 | 401 | 42.724µs |       127.0.0.1 | PUT      "/friends/request/1/accept"
[GIN] 2026/03/16 - 11:41:04 | 401 | 75.864µs |       127.0.0.1 | PUT      "/friends/request/1/accept"
[GIN] 2026/03/16 - 11:41:04 | 401 | 36.038µs |       127.0.0.1 | PUT      "/friends/request/abc/accept"
[GIN] 2026/03/16 - 11:41:04 | 401 | 24.715µs |       127.0.0.1 | PUT      "/friends/request/1/reject"
[GIN] 2026/03/16 - 11:41:04 | 401 |  29.55µs |       127.0.0.1 | PUT      "/friends/request/1/reject"
[GIN] 2026/03/16 - 11:41:04 | 401 | 23.763µs |       127.0.0.1 | GET      "/friends"
[GIN] 2026/03/16 - 11:41:04 | 401 | 29.138µs |       127.0.0.1 | GET      "/friends"
[GIN] 2026/03/16 - 11:41:04 | 401 | 21.915µs |       127.0.0.1 | DELETE   "/friends/2"
[GIN] 2026/03/16 - 11:41:04 | 401 | 28.953µs |       127.0.0.1 | DELETE   "/friends/2"
[GIN] 2026/03/16 - 11:41:04 | 401 | 53.378µs |       127.0.0.1 | DELETE   "/friends/abc"
[GIN] 2026/03/16 - 11:41:04 | 404 |  3.436µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/03/16 - 11:41:04 | 404 |  7.089µs |       127.0.0.1 | GET      "/"
[GIN] 2026/03/16 - 11:41:04 | 404 |  2.828µs |       127.0.0.1 | GET      "/invalid"
[GIN] 2026/03/16 - 11:41:04 | 404 |  2.275µs |       127.0.0.1 | GET      "/register"
[GIN] 2026/03/16 - 11:41:05 | 404 |  2.375µs |       127.0.0.1 | DELETE   "/login"
[GIN] 2026/03/16 - 11:41:05 | 429 |  46.01µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 30.172µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 28.073µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 50.213µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 26.404µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 52.955µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 34.777µs |       127.0.0.1 | POST     "/login"
[GIN] 2026/03/16 - 11:41:05 | 429 | 36.939µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 31.575µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 29.187µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 42.137µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 27.219µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 33.047µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 30.336µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 29.706µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:05 | 429 | 27.846µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:06 | 429 | 32.539µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:06 | 429 | 29.376µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:06 | 429 | 51.873µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:06 | 429 | 29.158µs |       127.0.0.1 | POST     "/register"
[GIN] 2026/03/16 - 11:41:06 | 429 | 28.812µs |       127.0.0.1 | POST     "/register"
